google.com	0.193066	0.018078
facebook.com	0.176585	0.031063
youtube.com	0.177246	0.021910
yahoo.com	0.751370	0.146833
blogspot.com	0.182840	0.041399
baidu.com	0.881097	0.046815
wikipedia.org	0.181250	0.013808
live.com	0.546881	0.013093
twitter.com	0.286919	0.022815
qq.com	6.689707	0.029096
msn.com	0.321340	0.011156
yahoo.co.jp	3.500741	2.089819
linkedin.com	0.283862	0.027205
google.co.in	0.174623	0.033268
taobao.com	4.934966	0.228336
amazon.com	0.185129	0.020596
wordpress.com	0.213574	0.013666
google.com.hk	0.176435	0.034196
google.de	1.162866	2.007325
google.co.uk	0.172225	0.020261
yandex.ru	2.301020	0.048027
ebay.com	0.296243	0.010636
bing.com	0.126315	0.019000
google.co.jp	0.768670	0.039107
google.fr	0.167378	0.019625
microsoft.com	6.148222	4.784098
163.com	2.551249	2.212339
paypal.com	1.854569	0.154279
google.com.br	0.161596	0.006057
weibo.com	2.882458	0.746722
flickr.com	0.211335	0.012164
mail.ru	0.391296	0.007610
craigslist.org	0.300632	0.026875
fc2.com	0.273581	0.020580
google.it	0.171482	0.035388
apple.com	0.344920	0.009943
imdb.com	0.476967	0.038063
google.ru	0.165091	0.015809
vkontakte.ru	0.842360	0.025233
google.es	0.163879	0.023617
sohu.com	1.593573	0.020298
ask.com	0.175280	0.073505
bbc.co.uk	1.391932	0.065846
tumblr.com	0.424719	0.027158
livejasmin.com	0.764650	0.047346
xvideos.com	0.267829	0.018067
soso.com	2.396213	1.235931
youku.com	3.283064	1.976336
go.com	0.270920	0.008343
cnn.com	0.319626	0.037679
google.com.mx	0.162444	0.017869
tudou.com	1.892691	0.760517
google.ca	0.159301	0.019253
aol.com	0.298310	0.016862
zedo.com	0.363988	0.020198
xhamster.com	0.720780	0.016815
mediafire.com	1.526661	1.996721
megaupload.com	0.151346	0.010122
godaddy.com	0.266258	0.008437
pornhub.com	0.111242	0.013793
google.co.id	0.183898	0.027028
ameblo.jp	0.526749	0.034287
about.com	0.166312	0.005932
alibaba.com	0.510923	0.018083
wordpress.org	0.214736	0.014382
adobe.com	0.801184	0.348963
4shared.com	0.480278	0.008126
ebay.de	0.319346	0.026471
rakuten.co.jp	4.151010	0.630309
espn.go.com	0.501464	0.034036
livedoor.com	4.083817	0.383881
youporn.com	0.392794	0.009821
google.com.tr	0.170903	0.022806
google.com.au	0.183752	0.026772
cnet.com	0.570601	0.043316
uol.com.br	0.830165	0.072930
livejournal.com	0.837041	0.065419
huffingtonpost.com	0.175687	0.020628
google.pl	0.176212	0.071508
renren.com	1.261886	1.205932
babylon.com	0.842450	0.019272
thepiratebay.org	0.468311	0.016377
nytimes.com	1.115838	2.009140
ebay.co.uk	0.290503	0.013391
myspace.com	0.511434	0.017348
tmall.com	5.207271	0.195328
netflix.com	1.081792	0.022179
alipay.com	2.642084	0.368740
amazon.de	0.647155	0.028767
addthis.com	0.253768	0.007105
doubleclick.com	0.380628	0.013353
imgur.com	0.167148	0.060051
dailymotion.com	0.134183	0.029985
google.com.sa	0.149712	0.008392
cnzz.com	2.476791	0.462061
stumbleupon.com	0.482202	0.014469
twitpic.com	0.187109	0.012325
megaclick.com	0.308050	0.026429
google.nl	0.149925	0.009101
badoo.com	0.569052	0.091188
