google.com	0.289576	0.089282
facebook.com	0.597808	0.033247
youtube.com	0.486928	0.034195
yahoo.com	0.732800	0.095602
blogspot.com	0.530737	0.061699
baidu.com	0.874380	0.056452
wikipedia.org	1.461366	2.016493
live.com	0.835551	0.026988
twitter.com	0.762215	0.041703
qq.com	15.408700	0.798948
msn.com	0.580994	0.048370
yahoo.co.jp	2.478037	0.109997
linkedin.com	0.610645	0.100575
google.co.in	0.274910	0.029879
taobao.com	5.559979	1.334682
amazon.com	1.695162	1.972773
wordpress.com	0.347814	0.038499
google.com.hk	1.292389	1.996516
google.de	1.302633	1.989710
google.co.uk	0.241264	0.030524
yandex.ru	2.360569	0.057111
ebay.com	1.241935	0.104215
bing.com	0.283262	0.040415
google.co.jp	0.690705	0.029294
google.fr	0.285000	0.042423
microsoft.com	1.619192	0.248652
163.com	30.568433	5.390084
paypal.com	1.808845	0.118148
google.com.br	0.261648	0.033843
weibo.com	2.648499	0.345293
flickr.com	0.432801	0.030454
mail.ru	1.517195	0.051721
craigslist.org	1.345938	0.095313
fc2.com	0.636086	0.044780
google.it	0.275496	0.059354
apple.com	0.413474	0.064518
imdb.com	0.481025	0.050416
google.ru	0.254105	0.031100
vkontakte.ru	0.887001	0.102495
google.es	0.265244	0.034805
sohu.com	6.627848	0.761568
ask.com	0.551329	0.022994
bbc.co.uk	1.331246	0.030207
tumblr.com	0.451216	0.020267
livejasmin.com	0.761089	0.058901
xvideos.com	0.269444	0.029687
soso.com	3.792746	1.306562
youku.com	170.708758	83.773013
go.com	0.370700	0.073197
cnn.com	0.530482	0.064081
google.com.mx	1.268929	2.000047
tudou.com	26.877497	10.875603
google.ca	0.278070	0.038565
aol.com	0.299840	0.027604
zedo.com	0.464893	0.048887
xhamster.com	0.730954	0.037647
mediafire.com	1.595446	2.049732
megaupload.com	0.173378	0.026734
godaddy.com	0.886864	0.038425
pornhub.com	1.326032	1.992791
google.co.id	0.259375	0.032072
ameblo.jp	0.863549	0.247325
about.com	0.358860	0.015362
alibaba.com	1.207365	0.029411
wordpress.org	0.314616	0.030842
adobe.com	0.644504	0.043709
4shared.com	0.649469	0.040496
ebay.de	1.085748	0.137962
rakuten.co.jp	3.988594	0.190335
espn.go.com	0.936655	0.112081
livedoor.com	4.529012	1.234655
youporn.com	0.612515	0.053477
google.com.tr	0.272462	0.040221
google.com.au	0.279257	0.043351
cnet.com	1.645170	0.259000
uol.com.br	2.702392	0.107012
livejournal.com	1.808545	1.951376
huffingtonpost.com	0.700828	0.216357
google.pl	0.248772	0.053937
renren.com	2.012594	0.107634
babylon.com	0.858092	0.014649
thepiratebay.org	0.828050	0.010492
nytimes.com	0.257245	0.021085
ebay.co.uk	1.888381	1.970302
myspace.com	0.593842	0.031976
tmall.com	5.253792	0.195895
netflix.com	2.277953	2.410413
alipay.com	5.412543	2.844357
amazon.de	1.300082	0.047814
addthis.com	0.350213	0.028860
doubleclick.com	2.767318	4.502736
imgur.com	0.152009	0.021244
dailymotion.com	1.050366	0.102121
google.com.sa	0.260160	0.031538
cnzz.com	0.963664	0.228025
stumbleupon.com	0.812495	0.028744
twitpic.com	0.341988	0.014915
megaclick.com	0.296192	0.001778
google.nl	0.240146	0.032817
badoo.com	0.501151	0.083981
