@relation numerictraining

@attribute num_A numeric
@attribute num_ASN numeric
@attribute TTL numeric
@attribute num_distinct_networks numeric
@attribute num_NS numeric
@attribute entropy_A numeric
@attribute entropy_NS numeric
@attribute ave_MSD numeric
@attribute sd_MSD numeric
@attribute ND numeric
@attribute sd_ND numeric
@attribute DFD numeric
@attribute sd_DFD numeric
@attribute PD numeric
@attribute sd_PD numeric
@attribute fastflux {-1,1}

@data
8.000000,1.000000,711.000000,8.000000,3.000000,-0.000000,0.278433,0.000000,0.000000,0.000130,0.000002,0.887001,0.102495,0.842360,0.025233,1
6.000000,1.000000,300.000000,6.000000,4.000000,-0.000000,0.263401,0.000000,0.000000,0.000022,0.000006,0.265244,0.034805,0.163879,0.023617,1
2.000000,1.000000,116.000000,2.000000,4.000000,-0.000000,0.263401,0.000000,0.000000,0.000264,0.000222,6.627848,0.761568,1.593573,0.020298,1
1.000000,1.000000,5.000000,1.000000,4.000000,-0.000000,0.310253,0.000000,0.000000,0.000015,0.000010,0.551329,0.022994,0.175280,0.073505,1
1.000000,1.000000,76.000000,1.000000,4.000000,-0.000000,0.259176,0.000000,0.000000,0.000171,0.000174,1.331246,0.030207,1.391932,0.065846,1
1.000000,1.000000,406.000000,1.000000,6.000000,-0.000000,0.309555,24.163970,0.000000,0.000047,0.000002,0.451216,0.020267,0.424719,0.027158,1
1.000000,1.000000,5324.000000,1.000000,2.000000,-0.000000,0.288732,0.000000,0.000000,0.000080,0.000003,0.761089,0.058901,0.764650,0.047346,1
8.000000,1.000000,946.000000,8.000000,2.000000,-0.000000,0.288732,0.000000,0.000000,-0.000009,0.000042,0.269444,0.029687,0.267829,0.018067,1
1.000000,1.000000,600.000000,1.000000,4.000000,-0.000000,0.205221,0.000000,0.000000,0.000535,0.000297,3.792746,1.306562,2.396213,1.235931,1
6.000000,6.000000,340.000000,6.000000,4.000000,-0.000000,0.263401,3.775860,5.372710,0.000391,0.000014,170.708758,83.773013,3.283064,1.976336,1
1.000000,1.000000,4.000000,1.000000,4.000000,-0.000000,0.310253,4.944133,0.000000,-0.000090,0.000336,0.370700,0.073197,0.270920,0.008343,1
6.000000,1.000000,60.000000,6.000000,3.000000,-0.000000,0.310896,12.478056,0.000000,-0.000048,0.000141,0.530482,0.064081,0.319626,0.037679,1
6.000000,1.000000,300.000000,6.000000,4.000000,-0.000000,0.263401,0.000000,0.000000,0.000019,0.000002,1.268929,2.000047,0.162444,0.017869,1
1.000000,1.000000,531.000000,1.000000,4.000000,-0.000000,0.263401,0.000000,0.000000,0.001216,0.001108,26.877497,10.875603,1.892691,0.760517,1
6.000000,1.000000,300.000000,6.000000,4.000000,-0.000000,0.263401,0.000000,0.000000,0.000016,0.000003,0.278070,0.038565,0.159301,0.019253,1
5.000000,1.000000,2456.000000,5.000000,4.000000,0.217322,0.310253,3.233212,6.466424,0.000006,0.000001,0.299840,0.027604,0.298310,0.016862,1
1.000000,1.000000,12283.000000,1.000000,6.000000,-0.000000,0.309555,16.386029,0.000000,0.000029,0.000111,0.464893,0.048887,0.363988,0.020198,1
5.000000,1.000000,388.000000,5.000000,2.000000,-0.000000,0.288732,0.000000,0.000000,0.000099,0.000003,0.730954,0.037647,0.720780,0.016815,1
2.000000,1.000000,28383.000000,2.000000,4.000000,-0.000000,0.150515,27.593323,0.000000,0.000134,0.000164,1.595446,2.049732,1.526661,1.996721,1
5.000000,1.000000,349.000000,5.000000,4.000000,-0.000000,0.396344,0.473406,0.000000,0.000007,0.000002,0.173378,0.026734,0.151346,0.010122,1
1.000000,1.000000,153.000000,1.000000,3.000000,-0.000000,0.396905,0.000000,0.000000,-0.000005,0.000157,0.886864,0.038425,0.266258,0.008437,1
12.000000,1.000000,1759.000000,12.000000,3.000000,-0.000000,0.278433,0.000000,0.000000,0.000034,0.000046,1.326032,1.992791,0.111242,0.013793,1
6.000000,1.000000,300.000000,6.000000,4.000000,-0.000000,0.263401,0.000000,0.000000,-0.000016,0.000182,0.259375,0.032072,0.183898,0.027028,1
1.000000,1.000000,244.000000,1.000000,2.000000,-0.000000,0.288732,0.000000,0.000000,0.000299,0.000217,0.863549,0.247325,0.526749,0.034287,1
1.000000,1.000000,689.000000,1.000000,6.000000,-0.000000,0.233109,10.451995,0.000000,0.000013,0.000002,0.358860,0.015362,0.166312,0.005932,1
1.000000,1.000000,600.000000,1.000000,4.000000,-0.000000,0.304199,0.000000,0.000000,0.000121,0.000564,1.207365,0.029411,0.510923,0.018083,1
2.000000,1.000000,68.000000,2.000000,2.000000,-0.000000,0.288732,20.689381,0.000000,0.000043,0.000002,0.314616,0.030842,0.214736,0.014382,1
1.000000,1.000000,16861.000000,1.000000,4.000000,-0.000000,0.385511,0.000000,0.000000,0.000158,0.000093,0.644504,0.043709,0.801184,0.348963,1
1.000000,1.000000,626.000000,1.000000,2.000000,-0.000000,0.288732,24.211719,0.000000,0.000080,0.000070,0.649469,0.040496,0.480278,0.008126,1
2.000000,1.000000,1098.000000,2.000000,4.000000,0.301030,0.310253,0.000000,0.000000,0.000135,0.000106,1.085748,0.137962,0.319346,0.026471,1
1.000000,1.000000,595.000000,1.000000,4.000000,-0.000000,0.263401,0.000000,0.000000,0.000165,0.000270,3.988594,0.190335,4.151010,0.630309,1
1.000000,1.000000,26.000000,1.000000,2.000000,-0.000000,0.288732,0.000000,0.000000,0.000079,0.000003,0.936655,0.112081,0.501464,0.034036,1
1.000000,1.000000,2623.000000,1.000000,6.000000,-0.000000,0.238258,0.000000,0.000000,0.000358,0.000103,4.529012,1.234655,4.083817,0.383881,1
8.000000,1.000000,268.000000,8.000000,5.000000,-0.000000,0.396658,0.000000,0.000000,-0.000101,0.000296,0.612515,0.053477,0.392794,0.009821,1
6.000000,1.000000,300.000000,6.000000,4.000000,-0.000000,0.263401,0.000000,0.000000,0.000076,0.000116,0.272462,0.040221,0.170903,0.022806,1
6.000000,1.000000,300.000000,6.000000,4.000000,-0.000000,0.263401,0.000000,0.000000,0.000018,0.000001,0.279257,0.043351,0.183752,0.026772,1
2.000000,2.000000,233.000000,2.000000,3.000000,0.301030,0.376287,0.352164,0.096926,0.000084,0.000007,1.645170,0.259000,0.570601,0.043316,1
2.000000,1.000000,137.000000,2.000000,3.000000,-0.000000,0.265067,0.000000,0.000000,0.000159,0.000003,2.702392,0.107012,0.830165,0.072930,1
1.000000,1.000000,257.000000,1.000000,3.000000,-0.000000,0.138879,0.000000,0.000000,0.000200,0.000171,1.808545,1.951376,0.837041,0.065419,1
1.000000,1.000000,167.000000,1.000000,5.000000,-0.000000,0.250515,0.000000,0.000000,0.000010,0.000001,0.700828,0.216357,0.175687,0.020628,1
6.000000,1.000000,300.000000,6.000000,4.000000,-0.000000,0.263401,0.000000,0.000000,0.000019,0.000002,0.248772,0.053937,0.176212,0.071508,1
1.000000,1.000000,736.000000,1.000000,3.000000,-0.000000,0.278433,0.000000,0.000000,0.000261,0.000004,2.012594,0.107634,1.261886,1.205932,1
1.000000,1.000000,1319.000000,1.000000,2.000000,-0.000000,0.389076,80.007745,0.000000,0.000132,0.000057,0.858092,0.014649,0.842450,0.019272,1
1.000000,1.000000,2935.000000,1.000000,5.000000,-0.000000,0.247845,0.000000,0.000000,0.000216,0.000082,0.828050,0.010492,0.468311,0.016377,1
1.000000,1.000000,170.000000,1.000000,3.000000,-0.000000,0.396905,0.317060,0.000000,0.000012,0.000006,0.257245,0.021085,1.115838,2.009140,1
2.000000,1.000000,217.000000,2.000000,4.000000,0.301030,0.310253,0.000000,0.000000,0.000080,0.000003,1.888381,1.970302,0.290503,0.013391,1
2.000000,1.000000,2071.000000,2.000000,6.000000,-0.000000,0.409899,4.906342,0.000000,0.000266,0.000376,0.593842,0.031976,0.511434,0.017348,1
2.000000,1.000000,600.000000,2.000000,3.000000,-0.000000,0.276176,4.970503,4.970503,0.000245,0.000006,5.253792,0.195895,5.207271,0.195328,1
1.000000,1.000000,2035.000000,1.000000,6.000000,-0.000000,0.309555,0.219271,0.000000,0.000171,0.000189,2.277953,2.410413,1.081792,0.022179,1
1.000000,1.000000,3600.000000,1.000000,4.000000,-0.000000,0.263401,0.000000,0.000000,0.000205,0.000290,5.412543,2.844357,2.642084,0.368740,1
3.000000,1.000000,3333.000000,3.000000,5.000000,-0.000000,0.298970,66.002496,0.000000,0.000101,0.000005,1.300082,0.047814,0.647155,0.028767,1
1.000000,1.000000,214.000000,1.000000,8.000000,-0.000000,0.546567,0.000000,0.000000,0.000007,0.000000,0.350213,0.028860,0.253768,0.007105,1
1.000000,1.000000,230.000000,1.000000,4.000000,-0.000000,0.263401,0.000000,0.000000,0.000054,0.000002,2.767318,4.502736,0.380628,0.013353,1
2.000000,1.000000,1045.000000,2.000000,3.000000,-0.000000,0.301030,0.000000,0.000000,-0.000158,0.000336,0.152009,0.021244,0.167148,0.060051,1
2.000000,1.000000,358.000000,2.000000,2.000000,-0.000000,0.288732,0.000000,0.000000,0.000030,0.000038,1.050366,0.102121,0.134183,0.029985,1
6.000000,1.000000,300.000000,6.000000,4.000000,-0.000000,0.263401,0.000000,0.000000,0.000068,0.000101,0.260160,0.031538,0.149712,0.008392,1
1.000000,1.000000,300.000000,1.000000,2.000000,-0.000000,0.288732,0.000000,0.000000,0.000410,0.000094,0.963664,0.228025,2.476791,0.462061,1
1.000000,1.000000,2328.000000,1.000000,4.000000,-0.000000,0.263401,0.219271,0.000000,0.000082,0.000007,0.812495,0.028744,0.482202,0.014469,1
1.000000,1.000000,105.000000,1.000000,4.000000,-0.000000,0.263401,25.688718,0.000000,0.000126,0.000163,0.341988,0.014915,0.187109,0.012325,1
1.000000,1.000000,360.000000,1.000000,4.000000,-0.000000,0.396344,0.000000,0.000000,-0.000161,0.000335,0.296192,0.001778,0.308050,0.026429,1
6.000000,1.000000,300.000000,6.000000,4.000000,-0.000000,0.263401,0.000000,0.000000,-0.000157,0.000353,0.240146,0.032817,0.149925,0.009101,1
2.000000,1.000000,179.000000,2.000000,5.000000,-0.000000,0.502371,45.065878,0.000000,0.000166,0.000232,0.501151,0.083981,0.569052,0.091188,1
10.000000,9.000000,300.000000,10.000000,0.000000,0.736452,0.000000,0.000000,0.000000,0.000259,0.000015,4.258888,1.143810,5.313402,2.524152,-1
1.000000,1.000000,300.000000,1.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.000124,0.000262,7.653557,0.321212,1.289303,0.396209,-1
10.000000,9.000000,300.000000,10.000000,0.000000,0.819382,0.000000,0.000000,0.000000,0.000076,0.000301,3.791972,0.445482,3.807022,0.491018,-1
1.000000,1.000000,300.000000,1.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000196,0.000009,7.136743,0.879742,1.398816,0.185505,-1
10.000000,8.000000,300.000000,10.000000,0.000000,0.713727,0.000000,0.000000,0.000000,0.000456,0.000104,4.621043,0.514113,5.029878,0.523435,-1
10.000000,7.000000,300.000000,10.000000,0.000000,0.555834,0.000000,0.000000,0.000000,0.010781,0.001303,14.123022,1.284019,4.445466,0.045705,-1
1.000000,1.000000,300.000000,1.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000219,0.000056,7.241908,1.114806,1.341810,0.383087,-1
10.000000,6.000000,300.000000,10.000000,0.000000,0.533109,0.000000,0.000000,0.000000,0.000232,0.000108,3.937154,0.239492,3.660779,0.157455,-1
10.000000,7.000000,300.000000,10.000000,0.000000,0.590309,0.000000,0.000000,0.000000,0.000520,0.000183,5.572199,1.331429,4.546648,0.408959,-1
10.000000,9.000000,300.000000,10.000000,0.000000,0.653521,0.000000,0.000000,0.000000,0.000178,0.000007,2.327483,0.030212,2.292800,0.038903,-1
10.000000,10.000000,300.000000,10.000000,0.000000,0.698970,0.000000,0.000000,0.000000,0.000169,0.000448,2.429150,0.111428,3.198275,0.142468,-1
10.000000,9.000000,300.000000,10.000000,0.000000,0.713727,0.000000,0.000000,0.000000,0.000165,0.000003,2.290070,0.079130,2.252756,0.012242,-1
10.000000,8.000000,300.000000,10.000000,0.000000,0.616040,0.000000,0.000000,0.000000,0.000329,0.000015,4.248871,0.891811,7.632683,1.365123,-1
10.000000,7.000000,300.000000,10.000000,0.000000,0.590309,0.000000,0.000000,0.000000,0.000270,0.000108,4.128048,0.058533,4.260120,0.287933,-1
10.000000,5.000000,300.000000,10.000000,0.000000,0.389973,0.000000,0.000000,0.000000,0.000376,0.000261,3.278841,0.161522,3.391977,0.125779,-1
10.000000,8.000000,300.000000,10.000000,0.000000,0.518352,0.000000,0.000000,0.000000,0.000081,0.000453,2.877036,1.961110,1.979001,0.025022,-1
10.000000,7.000000,300.000000,10.000000,0.000000,0.650515,0.000000,0.000000,0.000000,0.002310,0.004038,74.678464,143.880201,2.682555,0.121615,-1
10.000000,8.000000,300.000000,10.000000,0.000000,0.638764,0.000000,0.000000,0.000000,0.000317,0.000248,2.877932,0.116102,2.864604,0.073207,-1
10.000000,6.000000,300.000000,10.000000,0.000000,0.472903,0.000000,0.000000,0.000000,0.000414,0.000037,4.317597,0.068918,4.221500,0.032024,-1
10.000000,7.000000,300.000000,10.000000,0.000000,0.590309,0.000000,0.000000,0.000000,0.000175,0.000139,2.877216,0.195583,2.738633,0.120517,-1
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1
8.000000,8.000000,300.000000,8.000000,4.000000,0.319477,0.276176,7.635451,3.854872,0.000027,0.000002,0.674960,0.277560,0.198348,0.028770,-1
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1
1.000000,1.000000,300.000000,1.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000173,0.000588,10.878923,4.693898,10.061563,0.019888,-1
10.000000,9.000000,300.000000,10.000000,0.000000,0.590309,0.000000,0.000000,0.000000,0.000032,0.000235,2.125275,0.117630,2.235161,0.429929,-1
10.000000,10.000000,300.000000,10.000000,0.000000,0.819382,0.000000,0.000000,0.000000,0.010052,0.000357,15.712123,1.630835,5.070561,1.260135,-1
1.000000,1.000000,300.000000,1.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000332,0.000007,6.592441,2.182991,10.058525,0.013404,-1
5.000000,5.000000,300.000000,5.000000,5.000000,0.412697,0.410226,71.612363,37.805923,0.000166,0.000300,0.650027,0.191820,0.550571,0.012336,-1
10.000000,9.000000,300.000000,10.000000,0.000000,0.736452,0.000000,0.000000,0.000000,0.000178,0.000158,1.382529,0.421662,1.161203,0.018105,-1
10.000000,7.000000,300.000000,10.000000,0.000000,0.616040,0.000000,0.000000,0.000000,0.010263,0.000011,13.210839,0.320438,4.212267,0.552922,-1
10.000000,10.000000,300.000000,10.000000,0.000000,0.879588,0.000000,0.000000,0.000000,0.010223,0.000045,12.380402,0.171716,3.252784,0.137722,-1
8.000000,1.000000,300.000000,8.000000,2.000000,-0.000000,0.389076,4.652609,3.603895,0.000051,0.000065,0.420113,0.063662,0.290027,0.039738,-1
1.000000,1.000000,300.000000,1.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000331,0.000008,2.797467,0.462575,10.049928,0.009130,-1
1.000000,1.000000,300.000000,1.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000302,0.000063,2.577893,0.288571,10.049426,0.006697,-1
10.000000,10.000000,300.000000,10.000000,0.000000,0.879588,0.000000,0.000000,0.000000,0.000182,0.000182,4.417099,0.828370,4.059194,0.554260,-1
10.000000,10.000000,300.000000,10.000000,0.000000,0.879588,0.000000,0.000000,0.000000,0.000555,0.000019,5.632741,0.059698,6.071989,1.516665,-1
10.000000,7.000000,300.000000,10.000000,0.000000,0.590309,0.000000,0.000000,0.000000,0.000288,0.000083,3.696201,0.111569,3.997393,0.434384,-1
10.000000,9.000000,300.000000,10.000000,0.000000,0.796658,0.000000,0.000000,0.000000,0.010174,0.000508,11.710899,0.716499,1.840652,0.013957,-1
