google.com	0.000102	0.000105
facebook.com	0.000103	0.000189
youtube.com	0.000064	0.000088
yahoo.com	0.000130	0.000168
blogspot.com	0.000012	0.000003
baidu.com	0.000343	0.000495
wikipedia.org	0.000069	0.000077
live.com	0.000007	0.000002
twitter.com	0.000226	0.000286
qq.com	0.010275	0.000243
msn.com	0.000007	0.000001
yahoo.co.jp	0.000287	0.000009
linkedin.com	0.000082	0.000004
google.co.in	0.000022	0.000004
taobao.com	0.000395	0.000015
amazon.com	0.000039	0.000040
wordpress.com	0.000045	0.000001
google.com.hk	0.000021	0.000003
google.de	0.000052	0.000064
google.co.uk	0.000019	0.000003
yandex.ru	0.000080	0.000270
ebay.com	0.000082	0.000004
bing.com	0.000036	0.000033
google.co.jp	0.000068	0.000268
google.fr	-0.000098	0.000320
microsoft.com	0.000133	0.000516
163.com	0.001438	0.001497
paypal.com	0.000227	0.000298
google.com.br	0.000018	0.000001
weibo.com	0.000566	0.000295
flickr.com	0.000048	0.000004
mail.ru	0.000136	0.000003
craigslist.org	0.000219	0.000278
fc2.com	0.000078	0.000004
google.it	0.000024	0.000010
apple.com	0.000080	0.000003
imdb.com	0.000009	0.000004
google.ru	0.000049	0.000059
vkontakte.ru	0.000130	0.000002
google.es	0.000022	0.000006
sohu.com	0.000264	0.000222
ask.com	0.000015	0.000010
bbc.co.uk	0.000171	0.000174
tumblr.com	0.000047	0.000002
livejasmin.com	0.000080	0.000003
xvideos.com	-0.000009	0.000042
soso.com	0.000535	0.000297
youku.com	0.000391	0.000014
go.com	-0.000090	0.000336
cnn.com	-0.000048	0.000141
google.com.mx	0.000019	0.000002
tudou.com	0.001216	0.001108
google.ca	0.000016	0.000003
aol.com	0.000006	0.000001
zedo.com	0.000029	0.000111
xhamster.com	0.000099	0.000003
mediafire.com	0.000134	0.000164
megaupload.com	0.000007	0.000002
godaddy.com	-0.000005	0.000157
pornhub.com	0.000034	0.000046
google.co.id	-0.000016	0.000182
ameblo.jp	0.000299	0.000217
about.com	0.000013	0.000002
alibaba.com	0.000121	0.000564
wordpress.org	0.000043	0.000002
adobe.com	0.000158	0.000093
4shared.com	0.000080	0.000070
ebay.de	0.000135	0.000106
rakuten.co.jp	0.000165	0.000270
espn.go.com	0.000079	0.000003
livedoor.com	0.000358	0.000103
youporn.com	-0.000101	0.000296
google.com.tr	0.000076	0.000116
google.com.au	0.000018	0.000001
cnet.com	0.000084	0.000007
uol.com.br	0.000159	0.000003
livejournal.com	0.000200	0.000171
huffingtonpost.com	0.000010	0.000001
google.pl	0.000019	0.000002
renren.com	0.000261	0.000004
babylon.com	0.000132	0.000057
thepiratebay.org	0.000216	0.000082
nytimes.com	0.000012	0.000006
ebay.co.uk	0.000080	0.000003
myspace.com	0.000266	0.000376
tmall.com	0.000245	0.000006
netflix.com	0.000171	0.000189
alipay.com	0.000205	0.000290
amazon.de	0.000101	0.000005
addthis.com	0.000007	0.000000
doubleclick.com	0.000054	0.000002
imgur.com	-0.000158	0.000336
dailymotion.com	0.000030	0.000038
google.com.sa	0.000068	0.000101
cnzz.com	0.000410	0.000094
stumbleupon.com	0.000082	0.000007
twitpic.com	0.000126	0.000163
megaclick.com	-0.000161	0.000335
google.nl	-0.000157	0.000353
badoo.com	0.000166	0.000232
